query,label,query_len_tokens,has_job_id,has_error_code,q_why,q_how,q_what,urgency_hits,incident_match_count
what does error code FONT_MISSING mean,simple_lookup,6,0,1,0,0,1,0,1
define RENDER_TIMEOUT,simple_lookup,2,0,1,0,0,0,0,2
RENDER_TIMEOUT,simple_lookup,1,0,1,0,0,0,0,2
meaning of UPLOAD_TIMEOUT,simple_lookup,3,0,1,0,0,0,0,1
what is the severity of UPLOAD_TIMEOUT,simple_lookup,6,0,1,0,0,1,0,1
status of job 483,simple_lookup,4,1,0,0,0,0,0,0
what is job #488 doing,simple_lookup,5,1,0,0,0,1,0,0
job 491 status,simple_lookup,3,1,0,0,0,0,0,0
which worker ran job 485,simple_lookup,5,1,0,0,0,0,0,0
how long did job 485 take,simple_lookup,6,1,0,0,1,0,0,0
what is the queue depth limit,simple_lookup,6,0,0,0,0,1,0,0
render timeout budget for 4k jobs,simple_lookup,6,0,0,0,0,0,0,0
what are the priority tiers,simple_lookup,5,0,0,0,0,1,0,0
heartbeat interval,simple_lookup,2,0,0,0,0,0,0,0
max retry attempts,simple_lookup,3,0,0,0,0,0,0,0
why is my render slower than usual,complex_diagnostic,7,0,0,1,0,0,0,0
how do I safely retry a stuck job,complex_diagnostic,8,0,0,0,1,0,1,0
why are renders taking longer after the deploy,complex_diagnostic,8,0,0,1,0,0,0,0
why did job 488 fail and how should I handle it,complex_diagnostic,11,1,0,1,1,0,0,0
why do we keep seeing RENDER_TIMEOUT and what should I do about it,complex_diagnostic,13,0,1,1,0,1,0,2
how do I tell whether a slowdown is queue wait or render duration,complex_diagnostic,13,0,0,0,1,0,0,0
should I drain worker-02 or retry the jobs on it,complex_diagnostic,10,0,0,0,0,0,0,0
what is the difference between a stalled render and a timeout,complex_diagnostic,11,0,0,0,0,1,0,0
how does the scheduler decide which worker gets a job,complex_diagnostic,10,0,0,0,1,0,0,0
why would two workers process the same job,complex_diagnostic,8,0,0,1,0,0,0,0
how do I know if a failure is transient or deterministic,complex_diagnostic,11,0,0,0,1,0,0,0
what happens to partial output when a render fails midway,complex_diagnostic,10,0,0,0,0,1,0,0
production down all jobs are stuck in rendering right now,urgent_incident,10,0,0,0,0,0,4,0
p1 every job is failing customers are blocked,urgent_incident,8,0,0,0,0,0,4,0
urgent the whole fleet is throwing RENDER_STALLED asap,urgent_incident,8,0,1,0,0,0,3,1
sev1 outage nothing is rendering and the queue is backing up,urgent_incident,11,0,0,0,0,0,3,0
critical worker-09 is stuck and all jobs on it are blocked,urgent_incident,11,0,0,0,0,0,4,0
all jobs stuck queue depth climbing urgent need help now,urgent_incident,10,0,0,0,0,0,3,0
p1 job 485 is stuck and customers are waiting right now,urgent_incident,11,1,0,0,0,0,4,0
outage everything is deferred and nothing is being admitted,urgent_incident,9,0,0,0,0,0,3,0
what does error code RENDER_TIMEOUT mean?,simple_lookup,6,0,1,0,0,1,0,2
define FONT_MISSING?,simple_lookup,2,0,1,0,0,0,0,1
FONT_MISSING?,simple_lookup,1,0,1,0,0,0,0,1
meaning of RENDER_TIMEOUT?,simple_lookup,3,0,1,0,0,0,0,2
what is the severity of STORAGE_BACKPRESSURE?,simple_lookup,6,0,1,0,0,1,0,0
status of job 493?,simple_lookup,4,1,0,0,0,0,0,0
what is job #491 doing?,simple_lookup,5,1,0,0,0,1,0,0
job 488 status?,simple_lookup,3,1,0,0,0,0,0,0
which worker ran job 482?,simple_lookup,5,1,0,0,0,0,0,0
how long did job 489 take?,simple_lookup,6,1,0,0,1,0,0,0
what is the queue depth limit?,simple_lookup,6,0,0,0,0,1,0,0
render timeout budget for 4k jobs?,simple_lookup,6,0,0,0,0,0,0,0
what are the priority tiers?,simple_lookup,5,0,0,0,0,1,0,0
heartbeat interval?,simple_lookup,2,0,0,0,0,0,0,0
max retry attempts?,simple_lookup,3,0,0,0,0,0,0,0
why is my render slower than usual?,complex_diagnostic,7,0,0,1,0,0,0,0
how do I safely retry a stuck job?,complex_diagnostic,8,0,0,0,1,0,1,0
why are renders taking longer after the deploy?,complex_diagnostic,8,0,0,1,0,0,0,0
why did job 486 fail and how should I handle it?,complex_diagnostic,11,1,0,1,1,0,0,0
why do we keep seeing RENDER_TIMEOUT and what should I do about it?,complex_diagnostic,13,0,1,1,0,1,0,2
how do I tell whether a slowdown is queue wait or render duration?,complex_diagnostic,13,0,0,0,1,0,0,0
should I drain worker-07 or retry the jobs on it?,complex_diagnostic,10,0,0,0,0,0,0,0
what is the difference between a stalled render and a timeout?,complex_diagnostic,11,0,0,0,0,1,0,0
how does the scheduler decide which worker gets a job?,complex_diagnostic,10,0,0,0,1,0,0,0
why would two workers process the same job?,complex_diagnostic,8,0,0,1,0,0,0,0
how do I know if a failure is transient or deterministic?,complex_diagnostic,11,0,0,0,1,0,0,0
what happens to partial output when a render fails midway?,complex_diagnostic,10,0,0,0,0,1,0,0
production down all jobs are stuck in rendering right now!,urgent_incident,10,0,0,0,0,0,4,0
p1 every job is failing customers are blocked!,urgent_incident,8,0,0,0,0,0,4,0
urgent the whole fleet is throwing ASSET_UNSUPPORTED_CODEC asap!,urgent_incident,8,0,1,0,0,0,3,1
sev1 outage nothing is rendering and the queue is backing up!,urgent_incident,11,0,0,0,0,0,3,0
critical worker-02 is stuck and all jobs on it are blocked!,urgent_incident,11,0,0,0,0,0,4,0
all jobs stuck queue depth climbing urgent need help now!,urgent_incident,10,0,0,0,0,0,3,0
p1 job 489 is stuck and customers are waiting right now!,urgent_incident,11,1,0,0,0,0,4,0
outage everything is deferred and nothing is being admitted!,urgent_incident,9,0,0,0,0,0,3,0
quick question - what does error code RENDER_TIMEOUT mean,simple_lookup,9,0,1,0,0,1,0,2
quick question - define FONT_MISSING,simple_lookup,5,0,1,0,0,0,0,1
quick question - STORAGE_BACKPRESSURE,simple_lookup,4,0,1,0,0,0,0,0
quick question - meaning of UPLOAD_TIMEOUT,simple_lookup,6,0,1,0,0,0,0,1
quick question - what is the severity of RENDER_TIMEOUT,simple_lookup,9,0,1,0,0,1,0,2
quick question - status of job 485,simple_lookup,7,1,0,0,0,0,0,0
quick question - what is job #493 doing,simple_lookup,8,1,0,0,0,1,0,0
quick question - job 493 status,simple_lookup,6,1,0,0,0,0,0,0
quick question - which worker ran job 484,simple_lookup,8,1,0,0,0,0,0,0
quick question - how long did job 491 take,simple_lookup,9,1,0,0,1,0,0,0
quick question - what is the queue depth limit,simple_lookup,9,0,0,0,0,1,0,0
quick question - render timeout budget for 4k jobs,simple_lookup,9,0,0,0,0,0,0,0
quick question - what are the priority tiers,simple_lookup,8,0,0,0,0,1,0,0
quick question - heartbeat interval,simple_lookup,5,0,0,0,0,0,0,0
quick question - max retry attempts,simple_lookup,6,0,0,0,0,0,0,0
why is my render slower than usual - trying to work out the root cause,complex_diagnostic,15,0,0,1,0,0,0,0
how do I safely retry a stuck job - trying to work out the root cause,complex_diagnostic,16,0,0,0,1,0,1,0
why are renders taking longer after the deploy - trying to work out the root cause,complex_diagnostic,16,0,0,1,0,0,0,0
